phase,episode,file_id,replay_buffer_valid,total_reward,atom_survived,num_steps
train,104,2025-04-10_2300_Feedback_Run_NN_0.h5,1,7.780433177947998,0,16
train,105,2025-04-10_2301_Feedback_Run_NN_0.h5,1,22.38246726989746,0,35
train,106,2025-04-10_2302_Feedback_Run_NN_0.h5,1,221.31591796875,1,100
train,107,2025-04-10_2303_Feedback_Run_NN_0.h5,1,-8.76523208618164,0,54
train,108,2025-04-10_2305_Feedback_Run_NN_0.h5,1,-7.174894332885742,0,48
train,109,2025-04-10_2306_Feedback_Run_NN_0.h5,1,446.64251708984375,1,100
train,110,2025-04-10_2308_Feedback_Run_NN_0.h5,1,-11.913162231445312,0,40
train,111,2025-04-10_2309_Feedback_Run_NN_0.h5,1,7.834692001342773,0,16
train,112,2025-04-10_2313_Feedback_Run_NN_0.h5,1,15.759847640991211,0,26
train,113,2025-04-10_2315_Feedback_Run_NN_0.h5,1,226.79080200195312,1,100
train,114,2025-04-10_2316_Feedback_Run_NN_0.h5,1,320.54425048828125,1,100
train,115,2025-04-10_2318_Feedback_Run_NN_0.h5,1,-11.832684516906738,0,84
train,116,2025-04-10_2319_Feedback_Run_NN_0.h5,1,58.8668212890625,0,69
train,117,2025-04-10_2321_Feedback_Run_NN_0.h5,1,-20.20376968383789,0,58
train,118,2025-04-10_2322_Feedback_Run_NN_0.h5,1,242.94253540039062,1,100
train,119,2025-04-10_2325_Feedback_Run_NN_0.h5,1,638.6776733398438,1,100
train,120,2025-04-10_2330_Feedback_Run_NN_0.h5,1,7.9010210037231445,0,16
train,121,2025-04-10_2335_Feedback_Run_NN_0.h5,1,10.623201370239258,0,34
train,122,2025-04-10_2339_Feedback_Run_NN_0.h5,1,7.797660827636719,0,16
train,123,2025-04-10_2341_Feedback_Run_NN_0.h5,1,6.426479339599609,0,31
train,124,2025-04-10_2345_Feedback_Run_NN_0.h5,1,143.8299102783203,1,100
train,125,2025-04-10_2347_Feedback_Run_NN_0.h5,1,11.834074974060059,0,73
train,126,2025-04-10_2350_Feedback_Run_NN_0.h5,1,360.7379150390625,1,100
train,127,2025-04-10_2351_Feedback_Run_NN_0.h5,1,125.11048889160156,1,100
train,128,2025-04-10_2353_Feedback_Run_NN_0.h5,1,-3.7985033988952637,0,79
train,129,2025-04-10_2354_Feedback_Run_NN_0.h5,1,240.16200256347656,1,100
train,130,2025-04-10_2355_Feedback_Run_NN_0.h5,1,10.666545867919922,0,44
train,131,2025-04-10_2356_Feedback_Run_NN_0.h5,1,8.92770004272461,0,21
train,132,2025-04-10_2357_Feedback_Run_NN_0.h5,1,214.6419219970703,1,100
train,133,2025-04-10_2361_Feedback_Run_NN_0.h5,1,230.60841369628906,1,100
train,134,2025-04-10_2364_Feedback_Run_NN_0.h5,1,416.7691345214844,1,100
train,135,2025-04-10_2367_Feedback_Run_NN_0.h5,1,159.95208740234375,1,100
train,136,2025-04-10_2370_Feedback_Run_NN_0.h5,1,267.8064880371094,1,100
train,137,2025-04-10_2378_Feedback_Run_NN_0.h5,1,22.91370964050293,0,85
train,138,2025-04-10_2379_Feedback_Run_NN_0.h5,1,134.43362426757812,1,100
