N,E_z,E_z_uK,Transmission
3.0,1.3696882128467997e-26,992.061134181678,0.8484131584408445
3.0,1.3933035268613998e-26,1009.1656364951552,0.8533187700205098
3.0,1.416918840876e-26,1026.2701388086327,0.8574379434381671
3.0,1.4405341548905997e-26,1043.3746411221098,0.8613830347872169
3.0,1.4641494689051998e-26,1060.479143435587,0.8651951806276341
3.0,1.4877647829197996e-26,1077.583645749064,0.8701325312699745
3.0,1.5113800969343998e-26,1094.6881480625414,0.8736751317632419
3.0,1.534995410949e-26,1111.7926503760186,0.8777343531355211
3.0,1.5586107249635997e-26,1128.897152689496,0.8816077694502419
3.0,1.5822260389781998e-26,1146.0016550029732,0.8859155386743299
3.0,1.6058413529927996e-26,1163.1061573164502,0.8890407959743493
3.0,1.6294566670073997e-26,1180.2106596299275,0.8931522445649258
3.0,1.653071981022e-26,1197.3151619434047,0.897134938756754
3.0,1.6766872950365997e-26,1214.4196642568818,0.9000395503321055
3.0,1.7003026090511998e-26,1231.524166570359,0.9036605176516289
3.0,1.7239179230657996e-26,1248.6286688838363,0.9073103638016567
3.0,1.7475332370803997e-26,1265.7331711973136,0.9108523252841628
3.0,1.7711485510949999e-26,1282.8376735107909,0.9142907127877954
3.0,1.7947638651095997e-26,1299.942175824268,0.9177453316190672
3.0,1.8183791791241998e-26,1317.0466781377452,0.9218745189310735
3.0,1.8419944931387996e-26,1334.1511804512222,0.9250110905517994
3.0,1.8656098071533997e-26,1351.2556827646995,0.928059062136422
3.0,1.8892251211679998e-26,1368.3601850781768,0.9319816745015351
3.0,1.9128404351825997e-26,1385.4646873916538,0.9348503590332112
3.0,1.9364557491971998e-26,1402.569189705131,0.9385716517980689
3.0,1.9600710632117996e-26,1419.673692018608,0.9412737666019416
3.0,1.9836863772263997e-26,1436.7781943320854,0.9448082932020982
3.0,2.0073016912409995e-26,1453.8826966455626,0.9482483056945197
3.0,2.0309170052555997e-26,1470.98719895904,0.9515970789428954
3.0,2.0545323192701998e-26,1488.0917012725172,0.9548575354930149
3.0,2.0781476332847996e-26,1505.1962035859942,0.9580328274240046
3.0,2.1017629472993997e-26,1522.3007058994715,0.9611259158220958
3.0,2.1253782613139995e-26,1539.4052082129485,0.9641395679760933
3.0,2.1489935753285996e-26,1556.509710526426,0.9678240266811813
3.0,2.1726088893431998e-26,1573.6142128399033,0.9705260595278238
3.0,2.1962242033577996e-26,1590.7187151533803,0.9739548217106836
3.0,2.2198395173723997e-26,1607.8232174668576,0.977342747515159
3.0,2.2434548313869995e-26,1624.9277197803347,0.9806907719728837
3.0,2.2670701454015996e-26,1642.032222093812,0.9832003478958257
3.0,2.2906854594161998e-26,1659.1367244072892,0.986476526460014
3.0,2.3143007734307996e-26,1676.2412267207665,0.9897158432518848
3.0,2.3379160874453997e-26,1693.3457290342437,0.9929194159144329
3.0,2.3615314014599998e-26,1710.450231347721,0.9968700503418944
5.0,0.0,0.0,0.17150711949591982
5.0,2.3615314014599996e-28,17.10450231347721,0.18065738549280955
5.0,4.723062802919999e-28,34.20900462695442,0.19056459220373526
5.0,7.084594204379999e-28,51.31350694043162,0.2012515891218559
5.0,9.446125605839998e-28,68.41800925390883,0.21278834823961995
5.0,1.1807657007299999e-27,85.52251156738605,0.2252324646391213
5.0,1.4169188408759998e-27,102.62701388086325,0.23860506739043952
5.0,1.6530719810219996e-27,119.73151619434046,0.2528999473084848
5.0,1.8892251211679997e-27,136.83601850781767,0.2680953481903206
5.0,2.1253782613139998e-27,153.94052082129488,0.2841645200088965
5.0,2.3615314014599998e-27,171.0450231347721,0.3010889667649387
5.0,2.5976845416059995e-27,188.14952544824928,0.31887087006231696
5.0,2.8338376817519995e-27,205.2540277617265,0.33748237533313297
5.0,3.0699908218979996e-27,222.35853007520373,0.3567184063391109
5.0,3.306143962043999e-27,239.46303238868092,0.3760700492477213
5.0,3.54229710219e-27,256.5675347021582,0.3954029322431361
5.0,3.7784502423359994e-27,273.67203701563534,0.4155377363384388
5.0,4.014603382481999e-27,290.77653932911255,0.43595853172198323
5.0,4.2507565226279995e-27,307.88104164258976,0.45510833382946386
5.0,4.486909662773999e-27,324.985543956067,0.47502576361073223
5.0,4.7230628029199996e-27,342.0900462695442,0.49421552344482433
5.0,4.959215943065999e-27,359.19454858302134,0.5125631937836991
5.0,5.195369083211999e-27,376.29905089649856,0.5310349454538944
5.0,5.4315222233579994e-27,393.4035532099758,0.5481861811200541
5.0,5.667675363503999e-27,410.508055523453,0.564884394811994
5.0,5.903828503649999e-27,427.6125578369302,0.5815063129770313
5.0,6.139981643795999e-27,444.71706015040746,0.595816023329166
5.0,6.376134783941999e-27,461.8215624638846,0.6108381073691711
5.0,6.612287924087999e-27,478.92606477736183,0.6252659548054411
5.0,6.848441064233998e-27,496.030567090839,0.6379286047659145
5.0,7.08459420438e-27,513.1350694043164,0.6498442710401446
5.0,7.320747344525999e-27,530.2395717177935,0.6618156537365576
5.0,7.556900484671999e-27,547.3440740312707,0.6733369841137277
5.0,7.793053624817998e-27,564.448576344748,0.6842143541373935
5.0,8.029206764963998e-27,581.5530786582251,0.6944647519666844
5.0,8.26535990511e-27,598.6575809717024,0.7041347429714644
5.0,8.501513045255999e-27,615.7620832851795,0.7132595805783286
5.0,8.737666185401999e-27,632.8665855986568,0.7218810894610463
5.0,8.973819325547998e-27,649.971087912134,0.7300721991666721
5.0,9.209972465693998e-27,667.0755902256111,0.7384219793399504
5.0,9.446125605839999e-27,684.1800925390884,0.7469596795203578
5.0,9.682278745985999e-27,701.2845948525655,0.7539719180521577
