file_id,condition,replay_buffer_valid,empty_cavity_mean,dt_ns
2025-04-13_0308_Feedback_Run_NN_02_rep00014.h5,with_feedback,0,32.88999938964844,27340.0
2025-04-13_0308_Feedback_Run_NN_02_rep00015.h5,with_feedback,0,34.1533317565918,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00016.h5,with_feedback,1,33.22666549682617,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00017.h5,with_feedback,0,33.029998779296875,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00018.h5,with_feedback,0,30.19333267211914,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00019.h5,with_feedback,0,30.093334197998047,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00020.h5,with_feedback,1,34.5433349609375,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00021.h5,with_feedback,0,33.150001525878906,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00022.h5,with_feedback,0,34.62666702270508,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00023.h5,with_feedback,1,33.38999938964844,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00024.h5,with_feedback,0,33.88666534423828,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00025.h5,with_feedback,1,30.40999984741211,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00026.h5,with_feedback,1,31.3266658782959,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00027.h5,with_feedback,0,33.630001068115234,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00028.h5,with_feedback,0,32.676666259765625,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00029.h5,with_feedback,1,31.113332748413086,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00030.h5,with_feedback,0,33.209999084472656,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00031.h5,with_feedback,0,30.206666946411133,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00032.h5,with_feedback,1,29.329999923706055,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00033.h5,with_feedback,0,30.073333740234375,27360.0
2025-04-13_0308_Feedback_Run_NN_03.h5,with_feedback,0,30.24333381652832,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00001.h5,with_feedback,1,33.84333419799805,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00002.h5,with_feedback,0,32.13666534423828,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00003.h5,with_feedback,1,35.19333267211914,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00004.h5,with_feedback,0,30.503334045410156,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00005.h5,with_feedback,0,29.889999389648438,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00006.h5,with_feedback,0,33.90999984741211,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00007.h5,with_feedback,0,32.973331451416016,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00008.h5,with_feedback,0,32.39666748046875,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00009.h5,with_feedback,1,34.59000015258789,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00010.h5,with_feedback,0,30.3266658782959,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00011.h5,with_feedback,1,31.873332977294922,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00012.h5,with_feedback,1,29.81999969482422,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00013.h5,with_feedback,1,34.70000076293945,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00014.h5,with_feedback,1,32.663333892822266,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00015.h5,with_feedback,1,34.119998931884766,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00016.h5,with_feedback,0,33.35333251953125,27340.0
2025-04-13_0308_Feedback_Run_NN_03_rep00017.h5,with_feedback,0,33.04666519165039,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00018.h5,with_feedback,0,30.25666618347168,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00019.h5,with_feedback,1,29.389999389648438,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00020.h5,with_feedback,0,33.53333282470703,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00021.h5,with_feedback,1,32.75,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00022.h5,with_feedback,1,34.39666748046875,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00023.h5,with_feedback,1,32.22666549682617,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00024.h5,with_feedback,0,34.676666259765625,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00025.h5,with_feedback,1,30.309999465942383,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00026.h5,with_feedback,0,31.02666664123535,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00027.h5,with_feedback,0,34.65999984741211,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00028.h5,with_feedback,1,32.2599983215332,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00029.h5,with_feedback,0,33.71666717529297,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00030.h5,with_feedback,0,34.186668395996094,27360.0
2025-04-13_0308_Feedback_Run_NN_03_rep00031.h5,with_feedback,1,32.11000061035156,27340.0
2025-04-13_0308_Feedback_Run_NN_03_rep00032.h5,with_feedback,1,30.343334197998047,27360.0
