E_y,E_z,E_y_uK,E_z_uK,Transmission
8.9451947025e-27,9.016756260119999e-27,647.8978149044398,653.0809974236753,0.7530230068705237
8.9451947025e-27,9.446125605839999e-27,647.8978149044398,684.1800925390884,0.7654518736878386
8.9451947025e-27,9.875494951559998e-27,647.8978149044398,715.2791876545014,0.7785655920221165
8.9451947025e-27,1.0304864297279999e-26,647.8978149044398,746.3782827699146,0.7898889263133339
8.9451947025e-27,1.0734233642999999e-26,647.8978149044398,777.4773778853277,0.8001390276088883
8.9451947025e-27,1.1163602988719998e-26,647.8978149044398,808.5764730007407,0.8104535966101707
8.9451947025e-27,1.1592972334439999e-26,647.8978149044398,839.675568116154,0.8208605793273117
8.9451947025e-27,1.2022341680159999e-26,647.8978149044398,870.774663231567,0.8295431515485997
8.9451947025e-27,1.2451711025879998e-26,647.8978149044398,901.8737583469801,0.8381682201511209
8.9451947025e-27,1.2881080371599999e-26,647.8978149044398,932.9728534623932,0.8463571324742984
8.9451947025e-27,1.3310449717319998e-26,647.8978149044398,964.0719485778063,0.8545861651471124
8.9451947025e-27,1.3739819063039998e-26,647.8978149044398,995.1710436932194,0.8622735557135609
8.9451947025e-27,1.416918840876e-26,647.8978149044398,1026.2701388086327,0.8694704318229283
8.9451947025e-27,1.459855775448e-26,647.8978149044398,1057.3692339240458,0.8772933472236725
8.9451947025e-27,1.5027927100199997e-26,647.8978149044398,1088.4683290394587,0.8837462130813543
8.9451947025e-27,1.5457296445919997e-26,647.8978149044398,1119.5674241548718,0.8908251969056207
8.9451947025e-27,1.5886665791639998e-26,647.8978149044398,1150.666519270285,0.8974951375165777
8.9451947025e-27,1.6316035137359998e-26,647.8978149044398,1181.7656143856982,0.903788694694583
8.9451947025e-27,1.674540448308e-26,647.8978149044398,1212.8647095011113,0.9097349906277619
8.9451947025e-27,1.7174773828799996e-26,647.8978149044398,1243.9638046165244,0.9163738508385746
8.9451947025e-27,1.7604143174519997e-26,647.8978149044398,1275.0628997319375,0.9226538313224679
8.9451947025e-27,1.8033512520239997e-26,647.8978149044398,1306.1619948473506,0.9286102693143725
8.9451947025e-27,1.8462881865959998e-26,647.8978149044398,1337.2610899627634,0.934263913110643
8.9451947025e-27,1.8892251211679998e-26,647.8978149044398,1368.3601850781768,0.9396289404011414
8.9451947025e-27,1.93216205574e-26,647.8978149044398,1399.4592801935898,0.9456122239954423
8.9451947025e-27,1.9750989903119997e-26,647.8978149044398,1430.5583753090027,0.9513021721792305
8.9451947025e-27,2.0180359248839997e-26,647.8978149044398,1461.657470424416,0.9567176148560326
8.9451947025e-27,2.0609728594559997e-26,647.8978149044398,1492.7565655398291,0.9626957306054208
8.9451947025e-27,2.1039097940279998e-26,647.8978149044398,1523.8556606552422,0.9683930776248911
8.9451947025e-27,2.1468467285999998e-26,647.8978149044398,1554.9547557706553,0.9738268383356126
1.1926926269999999e-26,0.0,863.8637532059197,0.0,0.2029372513645933
1.1926926269999999e-26,4.2936934571999995e-28,863.8637532059197,31.099095115413107,0.22239640562324123
1.1926926269999999e-26,8.587386914399999e-28,863.8637532059197,62.198190230826214,0.2447546620227622
1.1926926269999999e-26,1.2881080371599998e-27,863.8637532059197,93.29728534623932,0.27013804588013
